SiSoftware Sandra

Benchmark Results
Inter-Core Bandwidth : 154.77GB/s
Results Interpretation : Higher Scores mean Better Performance.
Binary Numeral System (base 2) : 1GB(/s) = 1024MB(/s), 1MB(/s) = 1024kB(/s), 1kB(/s) = 1024 bytes(/s), etc.

Benchmark Results
Inter-Core Latency : 56.3ns
Results Interpretation : Lower Scores mean Better Performance.
Decimal Numeral System (base 10) : 1s = 1000ms, 1ms = 1000µs, 1µs = 1000ns, etc.

Performance per Thread
Inter-Core Bandwidth : 4.84GB/s
No. Threads : 32
Results Interpretation : Higher Scores mean Better Performance.
Binary Numeral System (base 2) : 1GB(/s) = 1024MB(/s), 1MB(/s) = 1024kB(/s), 1kB(/s) = 1024 bytes(/s), etc.

Performance vs. Power
Processor(s) Power : 143.430W
Inter-Core Bandwidth : 1104.97MB/s/W
Results Interpretation : Higher Scores mean Better Performance.
Inter-Core Latency : 3.93ns/W
Results Interpretation : Lower Scores mean Better Performance.

Capacity vs. Power
Total Cache Size : 517.60kB/W
U16-U27 Data Latency : 69.1ns
U16-U29 Data Latency : 68.7ns
U16-U31 Data Latency : 68.8ns
U18-U20 Data Latency : 27.7ns
U18-U22 Data Latency : 27.4ns
U18-U24 Data Latency : 68.7ns
U18-U26 Data Latency : 71.6ns
U18-U28 Data Latency : 72.0ns
U18-U30 Data Latency : 68.5ns
U18-U1 Data Latency : 72.6ns
U18-U3 Data Latency : 60.0ns
U18-U5 Data Latency : 63.2ns
U18-U7 Data Latency : 65.8ns
U18-U9 Data Latency : 66.0ns
U18-U11 Data Latency : 65.7ns
U18-U13 Data Latency : 62.6ns
U18-U15 Data Latency : 66.3ns
U18-U17 Data Latency : 27.2ns
U18-U19 Data Latency : 10.7ns
U18-U21 Data Latency : 27.6ns
U18-U23 Data Latency : 26.9ns
U18-U25 Data Latency : 68.2ns
U18-U27 Data Latency : 66.2ns
U18-U29 Data Latency : 68.9ns
U18-U31 Data Latency : 68.9ns
U20-U22 Data Latency : 27.6ns
U20-U24 Data Latency : 71.4ns
U20-U26 Data Latency : 69.9ns
U20-U28 Data Latency : 63.7ns
U20-U30 Data Latency : 68.8ns
U20-U1 Data Latency : 71.7ns
U20-U3 Data Latency : 65.2ns
U20-U5 Data Latency : 62.2ns
U20-U7 Data Latency : 66.5ns
U20-U9 Data Latency : 68.0ns
U20-U11 Data Latency : 64.6ns
U20-U13 Data Latency : 68.7ns
U20-U15 Data Latency : 67.4ns
U20-U17 Data Latency : 27.4ns
U20-U19 Data Latency : 27.7ns
U20-U21 Data Latency : 10.9ns
U20-U23 Data Latency : 27.8ns
U20-U25 Data Latency : 65.6ns
U20-U27 Data Latency : 64.5ns
U20-U29 Data Latency : 67.5ns
U20-U31 Data Latency : 69.0ns
U22-U24 Data Latency : 70.8ns
U22-U26 Data Latency : 68.3ns
U22-U28 Data Latency : 71.6ns
U22-U30 Data Latency : 70.6ns
U22-U1 Data Latency : 60.8ns
U22-U3 Data Latency : 64.3ns
U22-U5 Data Latency : 54.8ns
U22-U7 Data Latency : 60.2ns
U22-U9 Data Latency : 67.7ns
U22-U11 Data Latency : 67.3ns
U22-U13 Data Latency : 65.1ns
U22-U15 Data Latency : 65.6ns
U22-U17 Data Latency : 27.4ns
U22-U19 Data Latency : 26.9ns
U22-U21 Data Latency : 27.6ns
U22-U23 Data Latency : 10.8ns
U22-U25 Data Latency : 69.6ns
U22-U27 Data Latency : 65.7ns
U22-U29 Data Latency : 66.0ns
U22-U31 Data Latency : 66.5ns
U24-U26 Data Latency : 27.7ns
U24-U28 Data Latency : 27.4ns
U24-U30 Data Latency : 27.8ns
U24-U1 Data Latency : 68.1ns
U24-U3 Data Latency : 69.7ns
U24-U5 Data Latency : 69.7ns
U24-U7 Data Latency : 61.8ns
U24-U9 Data Latency : 67.4ns
U24-U11 Data Latency : 54.6ns
U24-U13 Data Latency : 67.2ns
U24-U15 Data Latency : 63.7ns
U24-U17 Data Latency : 71.2ns
U24-U19 Data Latency : 73.6ns
U24-U21 Data Latency : 70.1ns
U24-U23 Data Latency : 64.7ns
U24-U25 Data Latency : 11.3ns
U24-U27 Data Latency : 27.7ns
U24-U29 Data Latency : 27.4ns
U24-U31 Data Latency : 27.7ns
U26-U28 Data Latency : 27.6ns
U26-U30 Data Latency : 27.0ns
U26-U1 Data Latency : 70.2ns
U26-U3 Data Latency : 67.9ns
U26-U5 Data Latency : 65.2ns
U26-U7 Data Latency : 66.5ns
U26-U9 Data Latency : 70.5ns
U26-U11 Data Latency : 67.1ns
U26-U13 Data Latency : 65.5ns
U26-U15 Data Latency : 65.8ns
U26-U17 Data Latency : 73.6ns
U26-U19 Data Latency : 67.7ns
U26-U21 Data Latency : 65.1ns
U26-U23 Data Latency : 72.5ns
U26-U25 Data Latency : 27.6ns
U26-U27 Data Latency : 11.0ns
U26-U29 Data Latency : 27.5ns
U26-U31 Data Latency : 27.2ns
U28-U30 Data Latency : 27.6ns
U28-U1 Data Latency : 67.0ns
U28-U3 Data Latency : 63.7ns
U28-U5 Data Latency : 68.1ns
U28-U7 Data Latency : 66.4ns
U28-U9 Data Latency : 64.8ns
U28-U11 Data Latency : 66.2ns
U28-U13 Data Latency : 67.7ns
U28-U15 Data Latency : 68.4ns
U28-U17 Data Latency : 67.6ns
U28-U19 Data Latency : 68.6ns
U28-U21 Data Latency : 70.7ns
U28-U23 Data Latency : 68.7ns
U28-U25 Data Latency : 27.3ns
U28-U27 Data Latency : 27.7ns
U28-U29 Data Latency : 11.0ns
U28-U31 Data Latency : 27.6ns
U30-U1 Data Latency : 67.4ns
U30-U3 Data Latency : 61.1ns
U30-U5 Data Latency : 66.1ns
U30-U7 Data Latency : 63.4ns
U30-U9 Data Latency : 62.1ns
U30-U11 Data Latency : 62.8ns
U30-U13 Data Latency : 63.2ns
U30-U15 Data Latency : 72.2ns
U30-U17 Data Latency : 61.9ns
U30-U19 Data Latency : 65.2ns
U30-U21 Data Latency : 69.1ns
U30-U23 Data Latency : 71.0ns
U30-U25 Data Latency : 27.6ns
U30-U27 Data Latency : 27.6ns
U30-U29 Data Latency : 27.7ns
U30-U31 Data Latency : 11.1ns
U1-U3 Data Latency : 26.4ns
U1-U5 Data Latency : 26.1ns
U1-U7 Data Latency : 26.4ns
U1-U9 Data Latency : 68.2ns
U1-U11 Data Latency : 67.1ns
U1-U13 Data Latency : 66.8ns
U1-U15 Data Latency : 67.3ns
U1-U17 Data Latency : 63.3ns
U1-U19 Data Latency : 65.4ns
U1-U21 Data Latency : 64.2ns
U1-U23 Data Latency : 61.7ns
U1-U25 Data Latency : 58.7ns
U1-U27 Data Latency : 65.4ns
U1-U29 Data Latency : 67.8ns
U1-U31 Data Latency : 59.2ns
U3-U5 Data Latency : 27.2ns
U3-U7 Data Latency : 26.2ns
U3-U9 Data Latency : 72.3ns
U3-U11 Data Latency : 71.1ns
U3-U13 Data Latency : 68.3ns
U3-U15 Data Latency : 73.4ns
U3-U17 Data Latency : 64.4ns
U3-U19 Data Latency : 67.6ns
U3-U21 Data Latency : 68.3ns
U3-U23 Data Latency : 62.4ns
U3-U25 Data Latency : 61.6ns
U3-U27 Data Latency : 58.1ns
U3-U29 Data Latency : 67.4ns
U3-U31 Data Latency : 66.4ns
U5-U7 Data Latency : 26.7ns
U5-U9 Data Latency : 67.0ns
U5-U11 Data Latency : 69.5ns
U5-U13 Data Latency : 66.2ns
U5-U15 Data Latency : 70.5ns
U5-U17 Data Latency : 65.1ns
U5-U19 Data Latency : 62.8ns
U5-U21 Data Latency : 63.8ns
U5-U23 Data Latency : 66.6ns
U5-U25 Data Latency : 55.6ns
U5-U27 Data Latency : 68.1ns
U5-U29 Data Latency : 68.5ns
U5-U31 Data Latency : 61.6ns
U7-U9 Data Latency : 70.2ns
U7-U11 Data Latency : 67.4ns
U7-U13 Data Latency : 65.0ns
U7-U15 Data Latency : 65.7ns
U7-U17 Data Latency : 68.7ns
U7-U19 Data Latency : 60.8ns
U7-U21 Data Latency : 62.2ns
U7-U23 Data Latency : 63.3ns
U7-U25 Data Latency : 61.0ns
U7-U27 Data Latency : 64.5ns
U7-U29 Data Latency : 67.4ns
U7-U31 Data Latency : 59.6ns
U9-U11 Data Latency : 25.7ns
U9-U13 Data Latency : 26.4ns
U9-U15 Data Latency : 26.7ns
U9-U17 Data Latency : 66.6ns
U9-U19 Data Latency : 58.0ns
U9-U21 Data Latency : 69.1ns
U9-U23 Data Latency : 63.2ns
U9-U25 Data Latency : 60.4ns
U9-U27 Data Latency : 68.6ns
U9-U29 Data Latency : 58.5ns
U9-U31 Data Latency : 65.1ns
U11-U13 Data Latency : 26.5ns
U11-U15 Data Latency : 26.2ns
U11-U17 Data Latency : 59.3ns
U11-U19 Data Latency : 63.5ns
U11-U21 Data Latency : 70.0ns
U11-U23 Data Latency : 60.7ns
U11-U25 Data Latency : 67.3ns
U11-U27 Data Latency : 68.0ns
U11-U29 Data Latency : 66.0ns
U11-U31 Data Latency : 64.8ns
U13-U15 Data Latency : 26.6ns
U13-U17 Data Latency : 65.9ns
U13-U19 Data Latency : 63.3ns
U13-U21 Data Latency : 65.3ns
U13-U23 Data Latency : 65.9ns
U13-U25 Data Latency : 56.1ns
U13-U27 Data Latency : 69.2ns
U13-U29 Data Latency : 56.4ns
U13-U31 Data Latency : 61.5ns
U15-U17 Data Latency : 61.8ns
U15-U19 Data Latency : 62.6ns
U15-U21 Data Latency : 64.4ns
U15-U23 Data Latency : 68.8ns
U15-U25 Data Latency : 69.0ns
U15-U27 Data Latency : 67.2ns
U15-U29 Data Latency : 63.5ns
U15-U31 Data Latency : 63.5ns
U17-U19 Data Latency : 27.6ns
U17-U21 Data Latency : 27.3ns
U17-U23 Data Latency : 27.5ns
U17-U25 Data Latency : 69.4ns
U17-U27 Data Latency : 73.9ns
U17-U29 Data Latency : 68.3ns
U17-U31 Data Latency : 71.9ns
U19-U21 Data Latency : 27.7ns
U19-U23 Data Latency : 26.6ns
U19-U25 Data Latency : 67.5ns
U19-U27 Data Latency : 74.1ns
U19-U29 Data Latency : 71.0ns
U19-U31 Data Latency : 72.0ns
U21-U23 Data Latency : 27.7ns
U21-U25 Data Latency : 69.6ns
U21-U27 Data Latency : 70.4ns
U21-U29 Data Latency : 68.6ns
U21-U31 Data Latency : 69.2ns
U23-U25 Data Latency : 67.8ns
U23-U27 Data Latency : 68.0ns
U23-U29 Data Latency : 70.5ns
U23-U31 Data Latency : 68.3ns
U25-U27 Data Latency : 26.2ns
U25-U29 Data Latency : 27.3ns
U25-U31 Data Latency : 27.5ns
U27-U29 Data Latency : 27.6ns
U27-U31 Data Latency : 26.4ns
U29-U31 Data Latency : 27.7ns
1x 64bytes Blocks Bandwidth : 23.68GB/s
4x 64bytes Blocks Bandwidth : 40.29GB/s
4x 256bytes Blocks Bandwidth : 147.46GB/s
4x 1kB Blocks Bandwidth : 427.1GB/s
4x 4kB Blocks Bandwidth : 653.63GB/s
16x 4kB Blocks Bandwidth : 548.9GB/s
4x 64kB Blocks Bandwidth : 550GB/s
16x 64kB Blocks Bandwidth : 555.5GB/s
8x 256kB Blocks Bandwidth : 515.64GB/s
4x 1MB Blocks Bandwidth : 223.58GB/s
8x 1MB Blocks Bandwidth : 17.65GB/s
8x 4MB Blocks Bandwidth : 14.1GB/s

Benchmark Status
Result ID : AMD Ryzen 9 3950X 16-Core Processor (16C 32T 4.67GHz, 3.7GHz IMC, 16x 512kB L2, 4x 16MB L3)
Microcode : MU8F710013
Computer : GigaByte X570 AORUS PRO WIFI Default string
Platform Compliance : x64
Buffering Used : No
No. Threads : 32
System Timer : 10MHz

Processor
Model : AMD Ryzen 9 3950X 16-Core Processor
Speed : 4.67GHz (99%)
Min/Max/Turbo Speed : 2.2GHz - 3.5GHz - 4.67GHz
Maximum Power : 60.104W - 143.428W
Cores per Processor : 16 Unit(s)
Cores per Compute Unit : 2 Unit(s)
Front Side Bus Speed : 100MHz
Revision/Stepping : 71 / 0
Microcode : MU8F710013
L1D (1st Level) Data Cache : 16x 32kB, 8-Way, Exclusive, 64bytes Line Size, 2 Thread(s)
L1I (1st Level) Code Cache : 16x 32kB, 8-Way, Exclusive, 64bytes Line Size, 2 Thread(s)
L2 (2nd Level) Data/Unified Cache : 16x 512kB, 8-Way, Fully Inclusive, 64bytes Line Size, 2 Thread(s)
L3 (3rd Level) Data/Unified Cache : 4x 16MB, 16-Way, Exclusive, 64bytes Line Size, 8 Thread(s)

Memory Controller
Speed : 3.7GHz (100%)
Min/Max/Turbo Speed : 1.85GHz - 3.7GHz

Performance Enhancing Tips
Warning 5010 : Cannot use Large Memory Pages due to lack of privileges.
Warning 242 : Dynamic OverClocking/Turbo engaged. Performance will not be consistent!
Tip 2 : Double-click tip or press Enter while a tip is selected for more information about the tip.
